Headquarters Location - Split 1,Headquarters Location - Split 2,Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,Weight,Price,Chg,% Chg,State,Abbrev,Code,Weight_rank
Reno,Nevada,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/21,1590895,1973,0.061527,   92.61,-8.16,(-8.10%),Nevada,Nev.,NV,297
Birmingham,Alabama,RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama",8/28/98,1281761,1971,0.061405,   21.85,-0.59,(-2.63%),Alabama,Ala.,AL,298
White Plains,New York,XYL,Xylem Inc.,Industrials,Industrial Machinery,"White Plains, New York",11/1/11,1524472,2011,0.060973,   112.98,-4.65,(-3.95%),New York,N.Y.,NY,299
St. Louis,Missouri,AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",9/19/91,1002910,1902,0.060323,   82.43,-0.96,(-1.15%),Missouri,Mo.,MO,300
Houston,Texas,HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",11/2/15,1645590,2015,0.06003,   15.18,-0.99,(-6.12%),Texas,Tex.,TX,301
San Jose,California,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",7/1/09,106040,1970,0.059242,   63.66,-4.49,(-6.59%),California,Calif.,CA,302
Providence,Rhode Island,CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",1/29/16,759944,1828,0.059203,   48.00,-0.99,(-2.02%),Rhode Island,R.I.,RI,303
Miami,Florida,CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/22/98,815097,1972,0.059145,   24.36,-1.52,(-5.87%),Florida,Fla.,FL,304
Buffalo,New York,MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",2/23/04,36270,1856,0.05911,   158.12,-3.88,(-2.40%),New York,N.Y.,NY,305
Lake Forest,Illinois,GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/81,277135,1927,0.058862,   454.20,-8.5,(-1.84%),Illinois,Ill.,IL,306
Brooklyn,New York,ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,"Brooklyn, New York",9/21/20,1370637,2005,0.058768,   157.11,-12.73,(-7.50%),New York,N.Y.,NY,307
Richmond,Virginia,KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/10,1170010,1993,0.058672,   119.43,-3.99,(-3.23%),Virginia,Va.,VA,308
Chicago,Illinois,VTR,Ventas Inc,Real Estate,Health Care REITs,"Chicago, Illinois",3/4/09,740260,1998,0.058077,   52.35,-1.26,(-2.35%),Illinois,Ill.,IL,309
Stamford,Connecticut,IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/17,749251,1979,0.057875,   223.01,-2.3,(-1.02%),Connecticut,Conn.,CT,310
Akron,Ohio,FE,FirstEnergy Corp,Utilities,Electric Utilities,"Akron, Ohio",,1031296,1997,0.057716,   36.55,-0.65,(-1.75%),Ohio,Ohio,OH,311
Seattle,Washington,EXPD,Expeditors,Industrials,Air Freight & Logistics,"Seattle, Washington",10/10/07,746515,1979,0.057381,   111.44,-6.23,(-5.29%),Washington,Wash.,WA,312
North Reading,Massachusetts,TER,Teradyne,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",9/21/20,97210,1960,0.057302,   113.00,-8.51,(-7.00%),Massachusetts,Mass.,MA,313
Houston,Texas,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/57,45012,1919,0.057043,   22.54,-0.07,(-0.31%),Texas,Tex.,TX,314
San Ramon,California,COO,The Cooper Companies,Health Care,Health Care Supplies,"San Ramon, California",9/23/16,711404,1958,0.055737,   384.72,-3.59,(-0.92%),California,Calif.,CA,315
Milford,Massachusetts,WAT,Waters Corporation,Health Care,Health Care Distributors,"Milford, Massachusetts",,1000697,1958,0.05573,   303.64,-12.25,(-3.88%),Massachusetts,Mass.,MA,316
Sunnyvale,California,TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Sunnyvale, California",1/21/21,864749,1978,0.05505,   72.72,-3.75,(-4.90%),California,Calif.,CA,317
New York,New York,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York",3/19/18,946581,1993,0.054939,   164.26,-3.73,(-2.22%),New York,N.Y.,NY,318
Greensboro,North Carolina,QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/15,1604778,2015,0.054809,   165.01,-7,(-4.07%),North Carolina,N.C.,NC,319
Atlanta,Georgia,GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,"Atlanta, Georgia",12/31/73,40987,1925,0.054442,   123.69,-7.55,(-5.75%),Georgia,Ga.,GA,320
Salt Lake City,Utah,EXR,Extra Space Storage,Real Estate,Specialized REITs,"Salt Lake City, Utah",1/19/16,1289490,1977,0.054312,   140.94,-4.16,(-2.87%),Utah,Utah,UT,321
Waukesha,Wisconsin,GNRC,Generac Holdings,Industrials,Electrical Components & Equipment,"Waukesha, Wisconsin",3/22/21,1474735,1959,0.054143,   289.19,-15.43,(-5.07%),Wisconsin,Wis.,WI,322
Lake Success,New York,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,"Lake Success, New York",6/18/18,1383312,1962,0.054123,   159.02,-4.77,(-2.91%),New York,N.Y.,NY,323
Irving,Texas,CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",12/24/18,1306830,1918,0.053866,   163.00,-5.2,(-3.09%),Texas,Tex.,TX,324
Wayne,Pennsylvania,TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",1/18/19,96943,1943,0.053711,   389.58,-11.14,(-2.78%),Pennsylvania,Pa.,PA,325
San Mateo,California,ESS,"Essex Property Trust, Inc.",Real Estate,Residential REITs,"San Mateo, California",4/2/14,920522,1971,0.053438,   270.11,-20.42,(-7.03%),California,Calif.,CA,326
Secaucus,New Jersey,DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/02,1022079,1967,0.053287,   135.80,-2.05,(-1.49%),New Jersey,N.J.,NJ,327
New York,New York,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",10/22/08,1120193,1971,0.05322,   159.00,-0.73,(-0.46%),New York,N.Y.,NY,328
Las Vegas,Nevada,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",10/3/19,1300514,1988,0.052962,   54.95,-1.29,(-2.29%),Nevada,Nev.,NV,329
Jackson,Michigan,CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",5/3/99,811156,1886,0.052828,   62.46,-1.07,(-1.68%),Michigan,Mich.,MI,330
Chicago,Illinois,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",8/31/83,23217,1919,0.052739,   37.43,-0.52,(-1.37%),Illinois,Ill.,IL,331
Milwaukee,Wisconsin,IR,Ingersoll Rand,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",3/3/20,1699150,1859,0.052713,   47.13,-1.03,(-2.14%),Wisconsin,Wis.,WI,332
Charlotte,North Carolina,ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",7/1/16,915913,1994,0.052492,   153.50,-7,(-4.36%),North Carolina,N.C.,NC,333
Dallas,Texas,J,Jacobs Engineering Group,Industrials,Construction & Engineering,"Dallas, Texas",10/26/07,52988,1947,0.05225,   134.00,-6.14,(-4.38%),Texas,Tex.,TX,334
Glendale,California,AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",12/31/87,8818,1990,0.051914,   214.95,-3.45,(-1.58%),California,Calif.,CA,335
Miami,Florida,RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/14,884887,1997,0.051853,   77.40,-3.88,(-4.77%),Florida,Fla.,FL,336
Orlando,Florida,DRI,Darden Restaurants,Consumer Discretionary,Restaurants,"Orlando, Florida",,940944,1938,0.051746,   130.88,-6.54,(-4.76%),Florida,Fla.,FL,337
New York,New York,OMC,Omnicom Group,Communication Services,Advertising,"New York, New York",,29989,1986,0.051456,   82.14,-1.6,(-1.91%),New York,N.Y.,NY,338
Memphis,Tennessee,MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",12/2/16,912595,1977,0.051445,   154.53,-3.16,(-2.00%),Tennessee,Tenn.,TN,339
Chesterbrook,Pennsylvania,ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",8/30/01,1140859,1985,0.051266,   120.09,-0.01,(-0.01%),Pennsylvania,Pa.,PA,340
Bolingbrook,Illinois,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",4/18/16,1403568,1990,0.051245,   300.00,-12.3,(-3.94%),Illinois,Ill.,IL,341
Pittsburgh,Pennsylvania,VTRS,Viatris,Health Care,Pharmaceuticals,"Pittsburgh, Pennsylvania",4/23/04,1792044,1961,0.051232,   15.53,0.39,-2.58%,Pennsylvania,Pa.,PA,342
Cambridge,Massachusetts,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",7/12/07,1086222,1998,0.051227,   111.30,0.13,-0.12%,Massachusetts,Mass.,MA,343
Fairfield,Ohio,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",12/18/97,20286,1950,0.051064,   113.73,-4.42,(-3.74%),Ohio,Ohio,OH,344
Long Beach,California,PEAK,Healthpeak Properties,Real Estate,Health Care REITs,"Long Beach, California",3/31/08,765880,1985,0.050941,   32.11,-0.72,(-2.19%),California,Calif.,CA,345
Reston,Virginia,NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",9/26/19,906163,1980,0.050925,"   4,600.00",-388.03,(-7.78%),Virginia,Va.,VA,346
Houston,Texas,BKR,Baker Hughes Co,Energy,Oil & Gas Equipment & Services,"Houston, Texas",7/7/17,1701605,2017,0.050667,   23.97,-0.84,(-3.39%),Texas,Tex.,TX,347
Covington,Louisiana,POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",10/7/20,945841,1993,0.050521,   419.76,-19.11,(-4.35%),Louisiana,La.,LA,348
Santa Clara,California,ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",8/28/18,1596532,2004,0.050451,   315.77,-10.97,(-3.36%),California,Calif.,CA,349
Sunnyvale,California,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",6/25/99,1002047,1992,0.049538,   74.30,-2.44,(-3.18%),California,Calif.,CA,350
Somerset,New Jersey,CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",9/21/20,1596783,2007,0.049025,   101.48,-2.52,(-2.42%),New Jersey,N.J.,NJ,351
Battle Creek,Michigan,K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,55067,1906,0.048994,   66.25,-0.9,(-1.34%),Michigan,Mich.,MI,352
Livonia,Michigan,MAS,Masco Corp.,Industrials,Building Products,"Livonia, Michigan",6/30/81,62996,1929,0.048698,   62.12,-2.57,(-3.97%),Michigan,Mich.,MI,353
Indianapolis,Indiana,DRE,Duke Realty Corp,Real Estate,Industrial REITs,"Indianapolis, Indiana",7/26/17,783280,1972,0.048633,   44.47,-0.87,(-1.92%),Indiana,Ind.,IN,354
Lake Forest,Illinois,IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/19,832101,1988,0.048573,   218.21,-6.54,(-2.91%),Illinois,Ill.,IL,355
Chicago,Illinois,UAL,United Airlines Holdings,Industrials,Airlines,"Chicago, Illinois",9/3/15,100517,1967,0.048558,   50.20,-2.5,(-4.74%),Illinois,Ill.,IL,356
Arlington,Virginia,AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",10/2/98,874761,1981,0.048499,   24.62,-0.72,(-2.84%),Virginia,Va.,VA,357
Dublin,Ohio,CAH,Cardinal Health Inc.,Health Care,Health Care Distributors,"Dublin, Ohio",5/27/97,721371,1971,0.048341,   55.81,-0.36,(-0.64%),Ohio,Ohio,OH,358
Kingsport,Tennessee,EMN,Eastman Chemical,Materials,Diversified Chemicals,"Kingsport, Tennessee",1/1/94,915389,1920,0.047872,   125.08,-3.32,(-2.59%),Tennessee,Tenn.,TN,359
Des Moines,Iowa,PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",7/22/02,1126328,1879,0.0478,   64.18,-0.63,(-0.97%),Iowa,Iowa,IA,360
Marlborough,Massachusetts,HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/16,859737,1985,0.047321,   62.37,-2.1,(-3.26%),Massachusetts,Mass.,MA,361
Ann Arbor,Michigan,DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",5/12/20,1286681,1960,0.047205,   425.00,2.66,-0.63%,Michigan,Mich.,MI,362
